cid,mp
6613,"MELTING POINT: 170-172 °C /CA SALT/"
31295,"152 °C (decomposes)"
23990,"1910 °C"
N/A,"-77 °C"
14814,"681 °C"
24273,"-28 °C"
34007,"MP: decomposes at 265 °C /Vanadyl sulfate dihydrate/"
1183,"81-83 °C"
11641,"-137.8 °C"
24387,"-93.6 °C"
67296,"Freezing point: -10 °C (sets to glass below this temperature)"
7861,"-122 °C"
N/A,"-77 °C"
8800,"170.5-171.5 °C"
7848,"-113.3 °C"
N/A,">200 °C; other melting points: 212-267 °C"
4056,"54 °C"
6824,"103 °C"
9414,"85 °C"
167155,"980 °C"
10421208,"394 °C"
5727,"Approximately 290 °C"
11186,"800 °C, decomposes"
24551,"872 °C"
24518,"-18 °C /hydrate/"
31896,"Dec @ 90 - 105 °C"
25113606,"1193 °C"
25466,"Decomposes at about 500 °C"
24424,"680 °C (decomposes)"
31211,"40.5 °C"
25352,"-9.3 °C"
7840,"-110 °C"
6571,"-44.5 °C"
10977,"-99 °C"
8174,"7 °C"
13381,"-66.3 °C"
8195,"-7 °C"
8193,"24 °C"
8183,"-35.2 °C"
8129,"-34.6 °C"
11610,"-119.7 °C"
11597,"-139.7 °C"
8640,"49.2 °C"
31285,"-81.3 °C"
8221,"59.5 °C"
7757,"-80 °C"
8125,"-101.7 °C"
8004,"-165.2 °C"
14260,"-12 °C"
17095,"-13 °C"
8184,"19 °C"
13190,"-49.2 °C"
N/A,"Varies with the temperature of crystallization, and the time and temperature of any subsequent annealing; approximately 30-70 °C"
6426,"41 °C"
4837,"106 °C"
935,"1455 °C"
5462814,"225 °C (decomposes)"
24455,"622 °C"
971,"189.5 °C (DECOMPOSES)"
6564,"-100.4 °C"
8981,"120 °C"
13,"16.92 °C"
6585,"-0.2 °C"
89594,"-79 °C"
11487,"53-54 °C"
24883,"<-50 °C"
6426889,"368 °C"
4650,"115.7 °C"
8064,"20.43 °C"
24553,"-208.79 °C"
24586,"Decomposes @ 840 °C"
6586,"Less than -114 °F= less than -81 °C= less than 192 deg K"
7516,"19.5 °C"
7720,"-70 °C"
3291,"64 - 65 °C"
7636,"-90 °C"
8051,"-35.5 °C"
7892,"-153.6 °C"
7870,"Freezing point = -50 °C (glass or vitreous condition)"
7204,"118-119 °C"
8016,"-3 °C"
31245,"FP: -100 °C"
7057,"111-113 °C"
6946,"71.0 °C"
6947,"44-45 °C"
398,"-91.3 °C"
8946,"51-52 °C"
8447,"180 °C"
N/A,"38-54 °C"
8449,"45 °C"
24247,"-112 °C"
7321,"187.5-188 °C"
8461,"70.5 °C"
1480,"153 °C"
8376,"80.1 °C"
31404,"70 °C"
4420,"27 °C"
11241,"< -80 °C"
15965,"218.5 °C"
31256,"-44 °C"
7910,"-90 °C"
7959,"Freezing point = -63.8 °C"
7475,"146 °C"
980,"113-114 °C"
7473,"51.7 °C"
27756,"FP: -80 °C"
24864,"79 °C"
21954,"298-300 °C"
13143,"-54 °C"
12228,"-45 °C"
24613,"56 °C (IN HOT WATER)"
6376,"-93 °C"
4130,"35.8 °C"
5462309,"44.1 °C"
3032297,"Decomposes on heating without melting"
2268,"73-74 °C"
6061,"-52.4 °C"
4115,"87 °C"
11407,"165 °C"
7148,"21 °C"
949,"2.1 °C"
4790,"<-15 °C"
7456,"125.2 °C"
6093189,">200 °C"
1004,"42.4 °C"
N/A,"221-232 °C"
1032,"-21.5 °C"
527,"-80 °C"
15793,"52.9 °C"
8858,"-59 °C"
51063134,"290 to 305 °C /Film/"
4931,"77 °C"
525,"130.97 °C  /OECD Guideline 102 (Melting point / Melting Range)/"
24649,"-37 °C"
162263,"912 °C"
24819,"160.5 °C /freezing point/"
23931,"-38.87 °C"
11591,"Decomposes at 320 °C"
145742,"220-222 °C, decomposes"
24485,"259 °C"
6019,"207 °C"
N/A,"NOTCHED IZOD IMPACT STRENGTH: 0.4-2.0 FT LB/IN; ROCKWELL HARDNESS: R110-R120; HEAT DISTORTION 264 LB/SQ IN: 60-80 °C; SPECIFIC HEAT: 0.2-0.28 CAL/G; LINEAR THERMAL EXPANSION COEFFICIENT, 1X10-5; 5.0-18 °C; MAX CONTINUOUS SERVICE TEMP: 70-74 °C; /UNMODIFIED, RIGID PVC/"
31263,"-45 °C"
516910,"441 °C with decomp starting at 350 °C"
24614,"-41.5 °C"
516875,"Decomposes"
27243,"290 °C (with partial decomposition)"
24829,"405 °C"
516900,"525 °C"
11615,"165 °C (decomposes)"
4933,"92 °C"
24434,"337 °C"
23714733,"Decomposes"
24402,"190 °C"
23676745,">270 °C (decomposes)"
23665710,"560 °C"
24404,"-133.8 °C"
14797,"about 360 °C; about 380 °C when anhydrous"
516881,"288 °C"
936,"128.8 °C"
24502,"398 °C"
445639,"16.3 °C"
8380,"Freezing point: -40 °C"
15337,"179 °C (decomposes)"
